"CANCELED","ROW_WID","ACCNT_LOC","ARPU","SES","HOME_PASSED","CUST_SINCE_DT","MONTHS_AGE","CANCEL_DT","CITY","POP"
1,1307183263,"4334851",276.8,"B",240,09-MAY-17,2.7,31-JUL-17,"MONCLOVA","MC"
1,1312209760,"4335265",386.08,"D",2376,15-MAY-17,1.76,08-JUL-17,"MONCLOVA","MC"
1,1313457171,"4335420",341.33,"D",2376,12-MAY-17,1.86,08-JUL-17,"MONCLOVA","MC"
1,1308441238,"4334962",357.4,"D",890,08-MAY-17,3.73,31-AGO-17,"MONCLOVA","MC"
1,1219685167,"4326467",390.82,"D",100,27-FEB-17,5.6,15-AGO-17,"MONCLOVA","MC"
1,1219685709,"4326507",144.19,"D",2376,03-MAR-17,5.53,20-AGO-17,"MONCLOVA","MC"
1,1269607894,"4331653",253.48,"D",447,17-ABR-17,1.67,07-JUN-17,"MONCLOVA","MC"
1,1269607897,"4331660",287.66,"D",447,21-ABR-17,3.66,10-AGO-17,"MONCLOVA","MC"
1,1279352120,"4332576",234.7,"C",3439,18-ABR-17,1.63,07-JUN-17,"MONCLOVA","MC"
1,1307183264,"4334853",291.4,"C",3273,06-MAY-17,1.83,01-JUL-17,"MONCLOVA","MC"
1,1312210410,"4335183",451.3,"D",2376,10-MAY-17,2.67,31-JUL-17,"MONCLOVA","MC"
1,1313457274,"4335430",222.55,"D",1499,11-MAY-17,3.64,31-AGO-17,"MONCLOVA","MC"
1,1218439448,"4326186",313.2,"D+",868,24-FEB-17,3.54,10-JUN-17,"MONCLOVA","MC"
1,1218439449,"4326188",151.33,"D",2376,27-FEB-17,4.63,16-JUL-17,"MONCLOVA","MC"
1,1253364889,"4329934",178.3,"D",695,05-ABR-17,4.47,20-AGO-17,"MONCLOVA","MC"
1,1258359817,"4330345",451.72,"C",94,01-ABR-17,4.6,20-AGO-17,"MONCLOVA","MC"
1,1259606841,"4330494",118.33,"D",248,04-ABR-17,2.5,20-JUN-17,"MONCLOVA","MC"
1,1312210413,"4335184",155.63,"D",2376,15-MAY-17,1.77,08-JUL-17,"MONCLOVA","MC"
1,1314712821,"4335513",249.77,"D",455,12-MAY-17,1.86,08-JUL-17,"MONCLOVA","MC"
1,1308441348,"4334966",194.6,"D",177,06-MAY-17,1.83,01-JUL-17,"MONCLOVA","MC"
1,1237137054,"4328323",157.83,"D",536,31-MAR-17,2.5,15-JUN-17,"MONCLOVA","MC"
1,1229654199,"4327478",442.38,"D",511,06-MAR-17,3.83,01-JUL-17,"MONCLOVA","MC"
1,1297162745,"4334025",257.6,"D",753,28-ABR-17,1.57,15-JUN-17,"MONCLOVA","MC"
1,1312208892,"4335210",322,"D",2376,09-MAY-17,1.73,01-JUL-17,"MONCLOVA","MC"
1,1313457702,"4335340",312.33,"D",2376,11-MAY-17,1.66,01-JUL-17,"MONCLOVA","MC"
1,1308441457,"4334981",489.33,"D",100,08-MAY-17,2.73,31-JUL-17,"MONCLOVA","MC"
1,1219685276,"4326475",443.87,"D",2376,25-FEB-17,4.7,16-JUL-17,"MONCLOVA","MC"
1,1219685282,"4326480",178.56,"D",248,26-FEB-17,5.64,15-AGO-17,"MONCLOVA","MC"
1,1160088650,"4319253",149,"D",941,09-ENE-17,4.7,31-MAY-17,"MONCLOVA","MC"
1,1218439565,"4326193",241.19,"D",2376,26-FEB-17,5.64,15-AGO-17,"MONCLOVA","MC"
1,1229652894,"4327522",189.11,"D",511,07-MAR-17,5.79,31-AGO-17,"MONCLOVA","MC"
1,1269607230,"4331598",264.71,"C",4892,20-ABR-17,1.67,10-JUN-17,"MONCLOVA","MC"
1,1293405318,"4333588",538.95,"D",281,11-MAY-17,3.63,31-AGO-17,"MONCLOVA","MC"
1,1307183591,"4334881",977.8,"C",860,09-MAY-17,3.7,31-AGO-17,"MONCLOVA","MC"
1,1313457709,"4335346",232.43,"D",2376,10-MAY-17,1.7,01-JUL-17,"MONCLOVA","MC"
1,1225910334,"4327040",269.22,"C",4892,02-MAR-17,4.6,21-JUL-17,"MONCLOVA","MC"
1,1218439568,"4326288",165.84,"D+",448,24-FEB-17,5.54,10-AGO-17,"MONCLOVA","MC"
1,1229652999,"4327533",310.29,"C",3439,09-MAR-17,5.7,31-AGO-17,"MONCLOVA","MC"
1,1229653001,"4327528",386.19,"D",511,07-MAR-17,3.82,01-JUL-17,"MONCLOVA","MC"
1,1237138141,"4328287",310.51,"D",2376,13-MAR-17,2.79,07-JUN-17,"MONCLOVA","MC"
1,1295903002,"4333878",223.52,"D",179,27-ABR-17,2.64,16-JUL-17,"MONCLOVA","MC"
1,1314713040,"4335531",341.33,"D",77,12-MAY-17,1.86,08-JUL-17,"MONCLOVA","MC"
1,1237137278,"4328335",161.22,"D",2376,10-MAR-17,3.69,01-JUL-17,"MONCLOVA","MC"
1,1270573908,"4331618",261.47,"D",536,02-MAY-17,1.57,20-JUN-17,"MONCLOVA","MC"
1,1270594010,"4331612",268.45,"D",296,06-ABR-17,1.8,31-MAY-17,"MONCLOVA","MC"
1,1270599445,"4331562",502.09,"D",1813,06-ABR-17,4.46,20-AGO-17,"MONCLOVA","MC"
1,1225910550,"4327056",315.39,"D+",448,01-MAR-17,5.6,20-AGO-17,"MONCLOVA","MC"
1,1314713900,"4335462",340.24,"D",77,25-MAY-17,1.7,16-JUL-17,"MONCLOVA","MC"
1,1314713901,"4335469",341.33,"D",455,12-MAY-17,1.86,08-JUL-17,"MONCLOVA","MC"
1,1220680058,"4326464",153.71,"D",2376,25-FEB-17,4.56,11-JUL-17,"MONCLOVA","MC"
1,1218439676,"4326204",511.36,"D",2376,02-MAR-17,5.57,20-AGO-17,"MONCLOVA","MC"
1,1229653211,"4327536",117.44,"D",536,11-MAR-17,2.64,31-MAY-17,"MONCLOVA","MC"
1,1230634976,"4327516",490.15,"D",511,09-MAR-17,3.73,01-JUL-17,"MONCLOVA","MC"
1,1269607446,"4331616",248,"D",2376,08-ABR-17,4.76,31-AGO-17,"MONCLOVA","MC"
1,1278380645,"4332491",174.3,"D",2085,26-ABR-17,2.66,16-JUL-17,"FRONTERA","MC"
1,1312209214,"4335223",317.17,"D",2376,10-MAY-17,1.7,01-JUL-17,"MONCLOVA","MC"
1,1312209216,"4335221",180.7,"D",2376,15-MAY-17,2.73,07-AGO-17,"MONCLOVA","MC"
1,1312209217,"4335226",340.42,"D",2376,10-MAY-17,1.7,01-JUL-17,"MONCLOVA","MC"
1,1312210086,"4335163",501.88,"D",2376,09-MAY-17,2.7,31-JUL-17,"MONCLOVA","MC"
1,1313130708,"4335203",326.83,"D",2376,15-MAY-17,1.77,08-JUL-17,"MONCLOVA","MC"
1,1313456621,"4335376",381.55,"D",2376,13-MAY-17,1.83,08-JUL-17,"MONCLOVA","MC"
1,1313456623,"4335381",212.1,"D",2376,10-MAY-17,2.66,31-JUL-17,"MONCLOVA","MC"
1,1234636979,"4328039",235.99,"D",284,09-MAR-17,5.7,31-AGO-17,"MONCLOVA","MC"
1,1163800536,"4319579",262.4,"C",3439,25-ENE-17,4.53,10-JUN-17,"MONCLOVA","MC"
1,1223422550,"4326700",186.9,"D+",868,08-MAR-17,5.73,31-AGO-17,"MONCLOVA","MC"
1,1234638290,"4327983",530.23,"D",511,10-MAR-17,4.69,31-JUL-17,"MONCLOVA","MC"
1,1157612534,"4319046",161.5,"D",248,06-ENE-17,5.82,01-JUL-17,"MONCLOVA","MC"
1,1235890687,"4328134",193.32,"D",536,10-MAR-17,4.69,31-JUL-17,"MONCLOVA","MC"
1,1223423642,"4326777",237.06,"D",941,28-FEB-17,5.57,15-AGO-17,"MONCLOVA","MC"
1,1148949432,"4318266",613.27,"B",19,09-ENE-17,7.7,31-AGO-17,"MONCLOVA","MC"
1,1206003353,"4324509",457.65,"D+",868,20-FEB-17,4.7,11-JUL-17,"MONCLOVA","MC"
1,1206004234,"4324564",225.6,"D+",868,14-FEB-17,5.79,07-AGO-17,"MONCLOVA","MC"
1,1206004446,"4324451",297.97,"D+",868,15-FEB-17,5.73,07-AGO-17,"MONCLOVA","MC"
1,1157613521,"4318992",121,"D",877,17-ENE-17,6.67,07-AGO-17,"MONCLOVA","MC"
1,1214706841,"4325722",340.3,"C",339,21-FEB-17,3.63,10-JUN-17,"MONCLOVA","MC"
1,1227167309,"4327179",234.26,"D+",868,03-MAR-17,5.53,20-AGO-17,"MONCLOVA","MC"
1,1206003466,"4324512",490.83,"D+",868,14-FEB-17,4.79,08-JUL-17,"MONCLOVA","MC"
1,1206004346,"4324597",400.05,"D",877,20-FEB-17,4.7,11-JUL-17,"MONCLOVA","MC"
1,1148948883,"4318220",380,"D",941,06-ENE-17,4.8,31-MAY-17,"MONCLOVA","MC"
1,1158537406,"4318963",237.01,"C",3439,05-ENE-17,6.5,21-JUL-17,"MONCLOVA","MC"
1,1163800866,"4319486",149,"D",2376,18-ENE-17,5.67,08-JUL-17,"MONCLOVA","MC"
1,1206004341,"4324446",431.87,"D+",868,13-FEB-17,5.8,07-AGO-17,"MONCLOVA","MC"
1,1174963997,"4321001",525.1,"C",4892,20-ENE-17,5.7,11-JUL-17,"MONCLOVA","MC"
1,1235891123,"4328166",551.25,"D",49,09-MAR-17,5.69,31-AGO-17,"MONCLOVA","MC"
1,1214706187,"4325676",148.29,"D",2376,20-FEB-17,4.7,11-JUL-17,"MONCLOVA","MC"
1,1234636651,"4327996",419.05,"D",511,13-MAR-17,3.83,08-JUL-17,"MONCLOVA","MC"
1,1163804293,"4319594",220.05,"D",210,13-ENE-17,4.8,07-JUN-17,"MONCLOVA","MC"
1,1156374094,"4318812",254.82,"D",1153,05-ENE-17,6.51,21-JUL-17,"MONCLOVA","MC"
1,1235891236,"4328176",438.91,"C",767,10-MAR-17,5.67,31-AGO-17,"MONCLOVA","MC"
1,1227167096,"4327294",129.13,"D",248,03-MAR-17,3.54,20-JUN-17,"MONCLOVA","MC"
1,1228156642,"4327249",134.04,"D+",868,07-MAR-17,2.76,31-MAY-17,"MONCLOVA","MC"
1,1157612421,"4319029",186.08,"D",1813,06-ENE-17,4.79,31-MAY-17,"MONCLOVA","MC"
1,1234636975,"4328034",193.01,"D",511,09-MAR-17,5.7,31-AGO-17,"MONCLOVA","MC"
1,1234638070,"4327960",315.52,"D",511,13-MAR-17,3.82,08-JUL-17,"MONCLOVA","MC"
1,1234638071,"4327961",230.81,"D",511,13-MAR-17,3.82,08-JUL-17,"MONCLOVA","MC"
1,1148949863,"4318285",258.5,"D",308,04-ENE-17,7.51,20-AGO-17,"MONCLOVA","MC"
1,1315654922,"4335548",122.34,"D",455,29-MAY-17,1.57,16-JUL-17,"MONCLOVA","MC"
1,1315969624,"4335761",246.3,"D",455,13-MAY-17,1.83,08-JUL-17,"MONCLOVA","MC"
1,1315970812,"4335726",350.83,"D",455,15-MAY-17,1.77,08-JUL-17,"MONCLOVA","MC"
1,1315971570,"4335656",364.33,"D",455,14-MAY-17,2.77,07-AGO-17,"MONCLOVA","MC"
1,1315708806,"4335551",632.37,"D",27,13-MAY-17,1.83,08-JUL-17,"MONCLOVA","MC"
1,1316896593,"4335768",499.85,"D",455,13-MAY-17,1.83,08-JUL-17,"MONCLOVA","MC"
1,1316987266,"4335753",287.98,"D",2376,27-MAY-17,2.6,15-AGO-17,"MONCLOVA","MC"
1,1317221504,"4335836",189.1,"D",77,13-MAY-17,1.83,08-JUL-17,"MONCLOVA","MC"
1,1317221723,"4335850",326.83,"D",77,15-MAY-17,1.76,08-JUL-17,"MONCLOVA","MC"
1,1319732908,"4335900",301.13,"D",77,25-MAY-17,2.67,15-AGO-17,"MONCLOVA","MC"
1,1319733123,"4335903",214.03,"D",2376,16-MAY-17,2.7,07-AGO-17,"MONCLOVA","MC"
1,1315971682,"4335662",140.7,"C",1149,15-MAY-17,1.77,08-JUL-17,"FRONTERA","MC"
1,1315971787,"4335669",361.25,"D",77,19-MAY-17,1.73,11-JUL-17,"MONCLOVA","MC"
1,1315972005,"4335683",320.68,"D",2376,12-MAY-17,1.86,08-JUL-17,"MONCLOVA","MC"
1,1317221286,"4335822",326.83,"D",890,15-MAY-17,1.76,08-JUL-17,"MONCLOVA","MC"
1,1317221507,"4335838",476.67,"D",455,14-MAY-17,2.77,07-AGO-17,"MONCLOVA","MC"
1,1319731607,"4335921",350.83,"D",455,15-MAY-17,1.76,08-JUL-17,"MONCLOVA","MC"
1,1314714230,"4335486",341.33,"D",2376,12-MAY-17,1.86,08-JUL-17,"MONCLOVA","MC"
1,1319732910,"4335896",311.63,"D",2376,20-MAY-17,1.7,11-JUL-17,"MONCLOVA","MC"
1,1319733128,"4335912",322,"D",455,16-MAY-17,1.73,08-JUL-17,"MONCLOVA","MC"
1,1319733129,"4335914",201.13,"C",1306,25-MAY-17,1.7,16-JUL-17,"MONCLOVA","MC"
1,1319733234,"4335916",232.43,"D",77,23-MAY-17,1.61,11-JUL-17,"MONCLOVA","MC"
1,1315969516,"4335766",336.5,"D",455,19-MAY-17,1.73,11-JUL-17,"MONCLOVA","MC"
1,1315969517,"4335767",369.25,"D",455,22-MAY-17,1.63,11-JUL-17,"MONCLOVA","MC"
1,1314714336,"4335496",177.6,"D",2376,23-MAY-17,2.57,10-AGO-17,"MONCLOVA","MC"
1,1317221176,"4335812",166.3,"D",447,19-MAY-17,2.7,10-AGO-17,"MONCLOVA","MC"
1,1317221179,"4335818",326.83,"D",2376,15-MAY-17,1.77,08-JUL-17,"MONCLOVA","MC"
1,1317221282,"4335823",298.05,"D",455,17-MAY-17,1.7,08-JUL-17,"MONCLOVA","MC"
1,1317221616,"4335843",331.67,"D",77,14-MAY-17,1.8,08-JUL-17,"MONCLOVA","MC"
1,1314714445,"4335501",341.33,"D",455,12-MAY-17,1.86,08-JUL-17,"MONCLOVA","MC"
1,1326013381,"4336776",256.7,"D",455,23-MAY-17,2.57,10-AGO-17,"MONCLOVA","MC"
1,1326013382,"4336779",181.3,"D",455,22-MAY-17,1.63,11-JUL-17,"MONCLOVA","MC"
1,1320990177,"4336065",356.04,"D",455,20-MAY-17,1.7,11-JUL-17,"MONCLOVA","MC"
1,1320990726,"4336110",274.8,"D",455,17-MAY-17,1.7,08-JUL-17,"MONCLOVA","MC"
1,1320991714,"4336185",340.42,"D",455,17-MAY-17,1.7,08-JUL-17,"MONCLOVA","MC"
1,1324752580,"4336616",278.95,"D",455,22-MAY-17,1.64,11-JUL-17,"MONCLOVA","MC"
1,1324757411,"4336693",274.8,"D",455,23-MAY-17,1.61,11-JUL-17,"MONCLOVA","MC"
1,1320990072,"4336060",331.67,"D",455,20-MAY-17,1.7,11-JUL-17,"MONCLOVA","MC"
1,1320990614,"4336105",323.03,"D",2085,07-JUN-17,1.77,31-JUL-17,"FRONTERA","MC"
1,1320990945,"4336119",336.43,"D",77,18-MAY-17,2.66,07-AGO-17,"MONCLOVA","MC"
1,1320990947,"4336120",291.4,"D",877,19-MAY-17,1.73,11-JUL-17,"MONCLOVA","MC"
1,1320990837,"4336115",274.8,"D",455,17-MAY-17,1.7,08-JUL-17,"MONCLOVA","MC"
1,1320990952,"4336126",357.4,"D",455,16-MAY-17,2.69,07-AGO-17,"MONCLOVA","MC"
1,1320991166,"4336140",301.93,"D",455,16-MAY-17,2.69,07-AGO-17,"MONCLOVA","MC"
1,1320991602,"4336175",547.17,"D",447,23-MAY-17,2.57,10-AGO-17,"MONCLOVA","MC"
1,1322241059,"4336388",336.5,"D",455,19-MAY-17,1.73,11-JUL-17,"MONCLOVA","MC"
1,1322241818,"4336320",457.33,"D",455,18-MAY-17,2.64,07-AGO-17,"MONCLOVA","MC"
1,1329771091,"4336977",170,"C",3439,24-MAY-17,1.56,11-JUL-17,"MONCLOVA","MC"
1,1324757191,"4336655",122.34,"D",2376,29-MAY-17,1.56,16-JUL-17,"MONCLOVA","MC"
1,1324757357,"4336686",186.5,"D",455,20-MAY-17,1.7,11-JUL-17,"MONCLOVA","MC"
1,1324757406,"4336687",331.67,"D",455,20-MAY-17,1.7,11-JUL-17,"MONCLOVA","MC"
1,1324757412,"4336694",287.25,"D",455,20-MAY-17,1.7,11-JUL-17,"MONCLOVA","MC"
1,1326013702,"4336793",462.17,"D",455,23-MAY-17,2.57,10-AGO-17,"MONCLOVA","MC"
1,1322241157,"4336265",274.8,"D",455,17-MAY-17,1.7,08-JUL-17,"MONCLOVA","MC"
1,1322241167,"4336390",134.93,"D",455,18-MAY-17,1.66,08-JUL-17,"MONCLOVA","MC"
1,1322241169,"4336395",113.6,"D",2376,23-MAY-17,1.6,11-JUL-17,"MONCLOVA","MC"
1,1322242255,"4336347",291.4,"D",455,19-MAY-17,1.73,11-JUL-17,"MONCLOVA","MC"
1,1323165959,"4336267",294.61,"D",248,25-MAY-17,1.7,16-JUL-17,"MONCLOVA","MC"
1,1323193462,"4336334",350.47,"D",455,18-MAY-17,2.63,07-AGO-17,"MONCLOVA","MC"
1,1323216686,"4336314",312.33,"D",941,18-MAY-17,1.66,08-JUL-17,"MONCLOVA","MC"
1,1323216690,"4336373",312.33,"D",455,18-MAY-17,1.66,08-JUL-17,"MONCLOVA","MC"
1,1323491689,"4336523",455.59,"D",2376,07-JUN-17,1.76,31-JUL-17,"MONCLOVA","MC"
1,1324752528,"4336615",151.32,"D",455,23-MAY-17,1.6,11-JUL-17,"MONCLOVA","MC"
1,1322241054,"4336379",312.33,"D",2376,18-MAY-17,1.66,08-JUL-17,"MONCLOVA","MC"
1,1322241270,"4336278",239.46,"D",695,14-JUN-17,1.77,07-AGO-17,"MONCLOVA","MC"
1,1322241374,"4336282",113.6,"D",2376,17-MAY-17,1.69,08-JUL-17,"MONCLOVA","MC"
1,1322241376,"4336291",178.7,"D",455,17-MAY-17,1.7,08-JUL-17,"MONCLOVA","MC"
1,1322242034,"4336331",508.96,"D",2376,18-MAY-17,2.63,07-AGO-17,"MONCLOVA","MC"
1,1329770540,"4336957",323.17,"D",753,25-MAY-17,2.53,10-AGO-17,"MONCLOVA","MC"
1,1329771087,"4336965",309.76,"D",48,26-MAY-17,2.63,15-AGO-17,"MONCLOVA","MC"
1,1339824710,"4338356",195.81,"D+",679,01-JUN-17,1.63,21-JUL-17,"MONCLOVA","MC"
1,1349890088,"4339484",250.43,"D+",679,10-JUN-17,1.66,31-JUL-17,"MONCLOVA","MC"
1,1349890144,"4339492",236.24,"D+",679,15-JUN-17,1.73,07-AGO-17,"MONCLOVA","MC"
1,1359951158,"4340465",198.06,"C",1149,22-JUN-17,1.61,10-AGO-17,"FRONTERA","MC"
1,1354914663,"4339959",293.01,"C",1149,15-JUN-17,1.73,07-AGO-17,"FRONTERA","MC"
1,1339825261,"4338406",283.71,"D+",679,02-JUN-17,2.57,20-AGO-17,"MONCLOVA","MC"
1,1334804717,"4337659",187.83,"D+",236,31-MAY-17,1.53,16-JUL-17,"MONCLOVA","MC"
1,1338566723,"4338043",169.92,"D+",679,31-MAY-17,1.5,16-JUL-17,"MONCLOVA","MC"
1,1339543090,"4338173",270.89,"D+",679,31-MAY-17,2.48,15-AGO-17,"MONCLOVA","MC"
1,1361219787,"4340543",301.18,"D",248,19-JUN-17,1.69,10-AGO-17,"MONCLOVA","MC"
1,1333548021,"4337449",257.53,"D",179,15-JUN-17,1.73,07-AGO-17,"MONCLOVA","MC"
1,1341081901,"4338496",236.24,"D+",236,06-JUN-17,2.8,31-AGO-17,"MONCLOVA","MC"
1,1341082338,"4338540",261.07,"D+",679,07-JUN-17,1.77,31-JUL-17,"MONCLOVA","MC"
1,1348360690,"4339169",171.72,"D+",679,12-JUN-17,1.83,07-AGO-17,"MONCLOVA","MC"
1,1357436294,"4340112",253.98,"D+",679,17-JUN-17,1.69,07-AGO-17,"MONCLOVA","MC"
1,1357436839,"4340154",288.92,"C",3273,17-JUN-17,1.69,07-AGO-17,"MONCLOVA","MC"
1,1352401901,"4339787",388.06,"D+",679,17-JUN-17,1.67,07-AGO-17,"MONCLOVA","MC"
1,1339824278,"4338329",349.67,"D+",679,07-JUN-17,2.41,20-AGO-17,"MONCLOVA","MC"
1,1348627124,"4339288",264.62,"D+",236,13-JUN-17,1.8,07-AGO-17,"MONCLOVA","MC"
1,1359951047,"4340473",236.24,"A",2592,21-JUN-17,1.64,10-AGO-17,"MONCLOVA","MC"
1,1352401902,"4339788",239.46,"C",1149,14-JUN-17,1.76,07-AGO-17,"FRONTERA","MC"
1,1352401903,"4339792",301.18,"D+",448,13-JUN-17,1.8,07-AGO-17,"MONCLOVA","MC"
1,1341082120,"4338509",264.63,"D+",679,06-JUN-17,1.8,31-JUL-17,"MONCLOVA","MC"
1,1332292006,"4337372",325.91,"D",2376,07-JUN-17,2.76,31-AGO-17,"MONCLOVA","MC"
1,1347367865,"4339067",397.96,"D+",236,06-JUN-17,2.79,31-AGO-17,"MONCLOVA","MC"
1,1347368292,"4339101",268.17,"D+",679,12-JUN-17,1.83,07-AGO-17,"MONCLOVA","MC"
1,1338566292,"4338019",169.11,"D+",679,31-MAY-17,2.47,15-AGO-17,"MONCLOVA","MC"
1,1339824921,"4338247",287.98,"D+",679,01-JUN-17,2.6,20-AGO-17,"MONCLOVA","MC"
1,1361218692,"4340569",167.42,"C",842,20-JUN-17,1.66,10-AGO-17,"MONCLOVA","MC"
1,1351145797,"4339633",378.17,"D",1499,15-JUN-17,1.74,07-AGO-17,"MONCLOVA","MC"
1,1333548675,"4337488",413.01,"D+",236,06-JUN-17,2.79,31-AGO-17,"MONCLOVA","MC"
1,1346108220,"4338949",338.71,"D+",448,08-JUN-17,2.74,31-AGO-17,"MONCLOVA","MC"
1,1355953082,"4339843",261.08,"C",4892,14-JUN-17,1.77,07-AGO-17,"MONCLOVA","MC"
1,1333547586,"4337424",379.95,"D+",236,07-JUN-17,1.77,31-JUL-17,"MONCLOVA","MC"
1,1338565862,"4337991",270.89,"D+",679,31-MAY-17,2.47,15-AGO-17,"MONCLOVA","MC"
1,1339825466,"4338287",215.56,"D+",679,01-JUN-17,1.63,21-JUL-17,"MONCLOVA","MC"
1,1364987054,"4340907",261.67,"D",489,26-JUN-17,1.64,15-AGO-17,"MONCLOVA","MC"
1,1332292119,"4337384",236.24,"D",177,08-JUN-17,1.74,31-JUL-17,"MONCLOVA","MC"
1,1341082664,"4338549",413.01,"D+",679,06-JUN-17,2.79,31-AGO-17,"MONCLOVA","MC"
1,1347368399,"4339099",395.92,"D",2376,09-JUN-17,2.7,31-AGO-17,"MONCLOVA","MC"
1,1338566833,"4338056",289.46,"D+",236,06-JUN-17,2.79,31-AGO-17,"MONCLOVA","MC"
1,1357437059,"4340168",250.43,"D+",868,17-JUN-17,1.67,07-AGO-17,"MONCLOVA","MC"
1,1338566839,"4338063",405.16,"C",3273,07-JUN-17,1.76,31-JUL-17,"MONCLOVA","MC"
1,1348627343,"4339309",392.5,"C",3273,07-JUL-17,1.76,31-AGO-17,"MONCLOVA","MC"
1,1373819382,"4341878",398,"D",536,06-JUL-17,1.79,31-AGO-17,"MONCLOVA","MC"
1,1338566841,"4338181",366.02,"D+",679,06-JUN-17,2.8,31-AGO-17,"MONCLOVA","MC"
1,1333547800,"4337427",360.97,"D+",679,31-MAY-17,2.47,15-AGO-17,"MONCLOVA","MC"
1,1347367642,"4339046",264.63,"D",2376,13-JUN-17,1.8,07-AGO-17,"MONCLOVA","MC"
1,1347368613,"4339122",264.63,"D",2376,13-JUN-17,1.79,07-AGO-17,"MONCLOVA","MC"
1,1347368614,"4339126",250.43,"D+",679,10-JUN-17,1.67,31-JUL-17,"MONCLOVA","MC"
1,1347368721,"4339119",462.59,"D+",679,10-JUN-17,2.67,31-AGO-17,"MONCLOVA","MC"
1,1347368722,"4339121",160.97,"D+",679,10-JUN-17,1.67,31-JUL-17,"MONCLOVA","MC"
1,1349889380,"4339528",268.17,"D",455,12-JUN-17,1.82,07-AGO-17,"MONCLOVA","MC"
1,1348627564,"4339330",257.53,"D+",679,15-JUN-17,1.73,07-AGO-17,"MONCLOVA","MC"
1,1332291789,"4337355",225.89,"C",459,26-MAY-17,1.67,16-JUL-17,"MONCLOVA","MC"
1,1347368079,"4339080",458.39,"D",877,13-JUN-17,1.8,07-AGO-17,"MONCLOVA","MC"
1,1346107776,"4338924",261.07,"D+",679,20-JUN-17,1.67,10-AGO-17,"MONCLOVA","MC"
1,1348627671,"4339369",293.01,"D+",868,21-JUN-17,1.64,10-AGO-17,"MONCLOVA","MC"
1,1351146342,"4339662",246.88,"D+",679,24-JUN-17,1.54,10-AGO-17,"MONCLOVA","MC"
1,1331031045,"4337101",185.16,"D+",236,01-JUN-17,1.5,16-JUL-17,"MONCLOVA","MC"
1,1339824704,"4338229",296.94,"D+",679,03-JUN-17,2.54,20-AGO-17,"MONCLOVA","MC"
1,1339824705,"4338233",406.89,"D+",679,31-MAY-17,2.47,15-AGO-17,"MONCLOVA","MC"
1,1373819923,"4341797",250.67,"D",1813,29-JUN-17,1.54,15-AGO-17,"MONCLOVA","MC"
1,1372549382,"4341659",161.11,"D+",236,30-JUN-17,1.53,15-AGO-17,"MONCLOVA","MC"
1,1354914658,"4339841",293.56,"D",2376,27-JUN-17,1.61,15-AGO-17,"MONCLOVA","MC"
1,1341081788,"4338484",305.57,"D+",679,05-JUN-17,2.48,20-AGO-17,"MONCLOVA","MC"
1,1337314895,"4337809",239.44,"D+",679,30-MAY-17,1.54,16-JUL-17,"MONCLOVA","MC"
1,1338249625,"4337914",322.34,"D+",679,31-MAY-17,1.5,16-JUL-17,"MONCLOVA","MC"
1,1357159234,"4340028",261.07,"D",695,14-JUN-17,1.77,07-AGO-17,"MONCLOVA","MC"
1,1337314903,"4337927",185.16,"D+",679,31-MAY-17,1.51,16-JUL-17,"MONCLOVA","MC"
